customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount,effective_to_date
5592.161392,71811,71,17,48,29.03416,20110201
8009.472833,20961,67,20,33,321.6,20110215
11318.08982,38923,99,6,83,115.728852,20110206
58166.55351,61321,186,0,30,427.63121,20110227
8025.229358,0,77,20,26,25.807685,20110126
5780.182197,51066,74,23,0,787.993313,20110226
4118.539113,34378,102,12,54,489.6,20110127
2523.07015,43072,63,35,15,302.4,20110116
6554.216396,25222,90,28,69,475.623251,20110127
7703.397294,36765,66,15,32,320.849072,20110228
5926.729379,23091,96,28,90,460.8,20110125
2683.470677,48269,69,3,79,282.151207,20110101
2695.182419,32720,67,13,12,321.6,20110201
6047.02516,20396,76,15,60,364.8,20110219
13171.01282,21513,119,21,81,679.827592,20110127
10656.88195,72540,88,7,3,631.743039,20110227
2527.653796,80744,63,24,84,11.879037,20110117
2672.095756,52822,67,23,88,350.529033,20110210
5313.294035,0,77,8,10,863.3947,20110124
20946.19251,69738,74,2,26,492.127532,20110224
8375.353929,17780,109,12,18,132.588288,20110215
4801.661503,18107,62,29,11,297.6,20110216
5745.94334,57740,74,30,87,269.905129,20110122
6066.115969,32627,76,11,60,380.036697,20110225
8002.308333,0,107,3,65,513.6,20110111
2393.915369,0,70,24,10,425.266308,20110131
4762.8179,65795,62,2,85,49.011099,20110112
4330.38602,60475,107,9,18,513.6,20110216
9402.729769,0,130,28,88,936.0,20110209
6966.694527,41837,88,29,93,142.062768,20110119
7694.064293,32303,65,13,34,45.152521,20110104
8717.561149,0,117,5,89,561.6,20110109
5928.748528,40531,74,17,32,30.567357,20110127
2452.977288,79898,62,5,86,271.606799,20110214
6701.571657,56398,85,4,18,408.0,20110227
7556.24034,35257,98,16,2,470.4,20110212
8492.6988,27804,109,19,54,784.8,20110226
7713.494046,45506,66,16,32,316.8,20110220
24084.5352,65196,67,0,54,396.082036,20110202
7290.069769,0,102,11,70,489.6,20110215
4772.943848,20993,133,35,90,638.4,20110218
6806.491395,37839,86,35,77,465.633954,20110121
2469.781334,92711,62,24,10,368.400146,20110115
3103.923041,74665,78,10,90,236.902001,20110205
2981.875575,0,83,26,89,582.679087,20110224
8902.737595,46833,112,6,3,64.109663,20110105
5499.447223,88768,68,17,77,326.4,20110128
15023.59858,28262,192,9,77,921.6,20110112
2509.107875,33555,63,17,11,101.89645,20110216
31221.7481,42780,113,10,27,542.4,20110103
3133.503432,58850,78,20,26,143.747794,20110207
3837.451863,21880,97,29,37,424.077159,20110113
11790.49617,25251,66,13,43,316.8,20110103
7838.068321,0,69,9,12,2.704934,20110217
4305.808345,24188,109,14,82,523.2,20110121
5973.976904,41611,74,14,8,113.801497,20110126
5670.442396,28406,72,16,35,192.87572,20110131
4731.749346,69833,118,32,99,828.662719,20110102
8026.379641,0,74,15,91,532.8,20110207
4022.963529,0,117,6,1,975.107098,20110126
9618.310865,80536,119,5,83,53.798708,20110111
2274.775451,0,63,2,5,606.642452,20110115
9552.926922,97732,79,0,70,289.9122,20110208
10388.55323,61222,89,20,55,392.604371,20110111
2470.121222,0,74,7,20,721.242206,20110109
5619.068508,50335,140,9,54,456.52385,20110204
9047.119209,0,127,30,11,1087.995426,20110121
6692.143668,63221,168,28,49,806.4,20110216
3731.504584,0,96,31,34,460.8,20110224
3660.770258,64495,92,34,30,251.992083,20110118
7928.829252,0,72,7,75,345.6,20110130
5011.751577,28859,67,24,51,321.6,20110109
7988.258292,77330,99,0,21,99.257608,20110201
3885.456401,0,105,3,92,504.0,20110228
2659.337982,24495,70,29,65,336.0,20110131
8564.768226,95697,107,29,29,178.006524,20110217
4885.162511,26372,126,11,7,604.8,20110212
9753.307106,17514,127,2,5,8.312729,20110224
2946.153697,89270,74,17,90,316.599228,20110201
2581.110945,29757,65,13,55,312.0,20110206
3517.385764,51814,92,28,89,56.300724,20110123
9743.350113,24028,82,14,27,393.6,20110121
3873.647046,28142,105,18,50,701.708239,20110120
7649.28199,52705,64,14,8,128.705563,20110106
2287.59692,0,63,1,5,679.368378,20110222
4475.424592,84903,111,7,63,497.126827,20110227
8714.922135,0,118,14,64,566.4,20110221
2248.449633,24910,63,7,63,347.857619,20110129
7416.197322,0,77,15,12,554.4,20110222
7771.158973,21876,68,12,28,465.41477,20110221
6968.3419,0,69,33,61,496.8,20110110
4250.282624,0,61,17,1,292.8,20110118
19776.56654,70699,82,1,57,256.813837,20110116
21343.46599,0,74,11,85,355.2,20110106
2413.139714,27501,63,20,0,542.319401,20110127
15363.84716,15897,101,30,99,303.148399,20110115
8456.961887,25141,73,12,4,25.438063,20110109
2189.642522,0,61,5,46,292.8,20110128
5780.182197,51066,74,23,0,787.993313,20110226
4639.981638,28358,117,24,37,84.024413,20110104
4465.335703,61846,112,1,48,215.8182,20110201
5968.118877,90972,74,3,47,232.926145,20110127
5097.763337,0,74,3,95,532.8,20110214
4076.634665,29549,104,17,51,710.433775,20110123
12252.60179,0,115,12,17,552.0,20110218
16936.27147,39411,217,4,29,1122.658899,20110124
4892.435461,21709,62,28,17,408.374746,20110218
9942.304791,67890,85,23,57,408.0,20110119
3735.838129,0,110,3,16,792.0,20110104
13117.52215,84311,111,11,98,532.8,20110207
4574.524094,99316,114,26,53,754.358929,20110130
5470.060561,54507,138,20,11,702.990032,20110217
2978.84601,64586,76,3,17,206.837111,20110113
6410.967544,61709,82,5,41,275.395894,20110208
4479.023088,94656,111,12,79,459.738128,20110129
2383.731879,0,69,5,40,496.8,20110205
2764.493659,61085,70,27,34,336.0,20110120
7920.105377,89284,67,7,31,321.6,20110127
6889.097981,0,63,6,12,302.4,20110109
3274.194616,31686,81,11,33,430.994107,20110111
9951.707743,56855,255,12,1,1836.0,20110217
2521.555686,53703,67,3,45,67.632476,20110216
23706.11337,0,96,12,35,844.481918,20110210
6047.02516,20396,76,15,60,364.8,20110219
11140.30248,27679,150,30,28,722.486994,20110121
4334.064096,23904,123,1,67,590.4,20110227
2799.74791,65351,69,4,54,481.027516,20110204
7923.136624,0,113,20,1,1124.427734,20110118
3688.110888,0,63,0,54,669.682001,20110203
12067.45599,0,116,14,35,1284.093173,20110102
2924.976721,64459,72,16,64,240.259479,20110109
15014.0927,32961,190,13,53,912.0,20110119
9277.233839,71416,116,10,0,556.8,20110111
6274.123875,68964,78,15,6,115.086827,20110131
3886.647414,78108,98,12,34,470.4,20110111
4386.277558,10621,67,28,22,321.6,20110211
11365.26766,84910,95,4,69,383.167471,20110122
5610.96434,77493,70,2,35,307.963291,20110224
2912.892035,81097,74,7,67,355.2,20110228
6915.729915,96610,85,6,23,520.364752,20110125
6262.663307,30110,159,20,71,466.436375,20110226
6503.397049,22081,84,1,9,451.670309,20110219
8007.399376,0,112,12,93,537.6,20110102
2929.916512,98473,72,19,69,345.6,20110102
5969.55297,97431,74,1,72,355.2,20110126
5473.15987,93870,69,1,96,331.2,20110202
5645.396665,50366,72,9,5,428.734656,20110227
6369.262355,34498,83,30,72,398.4,20110120
11833.76732,16552,103,23,53,494.4,20110117
6121.107929,26787,77,7,50,369.6,20110117
5159.369746,0,74,2,42,831.752839,20110224
2514.59196,43860,65,15,58,156.124914,20110214
8668.611261,21474,114,13,72,373.428187,20110220
4960.965384,18174,66,8,16,395.934815,20110219
5504.139033,0,73,18,45,350.4,20110208
7507.455372,60920,64,10,61,231.201886,20110206
32269.85139,41520,90,18,70,289.904105,20110227
5657.031588,0,152,12,89,729.6,20110201
5061.757902,0,68,19,16,326.4,20110223
5912.783829,72208,73,3,84,350.4,20110111
15182.27975,53863,63,12,30,105.765111,20110210
10747.03094,66446,136,8,77,639.464548,20110225
2050.623512,0,61,18,26,292.8,20110216
2465.444865,64997,63,7,99,383.442328,20110130
5343.121327,64460,66,18,42,316.8,20110211
8119.829071,46618,67,22,77,99.085943,20110114
4605.265164,0,64,13,64,307.2,20110214
6408.785577,49988,84,6,37,566.935022,20110203
2376.533508,0,91,2,8,436.8,20110131
3211.070017,16269,86,6,84,412.8,20110215
5094.522262,72006,64,4,38,307.2,20110227
25755.27817,0,81,3,60,388.8,20110121
8672.229719,0,245,34,83,2345.413441,20110114
8044.73072,44320,67,13,79,321.6,20110125
4001.519098,19782,108,13,66,773.470977,20110202
16706.11699,63933,70,35,98,424.883448,20110209
8544.411077,28224,109,13,13,523.2,20110228
7805.31287,21073,106,25,54,508.8,20110127
6112.756868,63243,77,21,73,364.240307,20110219
4772.943848,20993,133,35,90,638.4,20110218
10979.09559,94827,135,5,64,354.729129,20110214
5004.263818,39161,63,18,83,283.995953,20110130
13223.04379,37534,84,2,0,403.2,20110209
2623.31543,80210,65,30,28,20.543176,20110206
17840.19555,0,62,32,59,385.115437,20110223
5106.111827,30110,64,2,4,140.165035,20110222
17930.60451,21708,68,28,77,326.4,20110116
5457.342569,94731,67,23,65,321.6,20110202
6563.644143,32375,83,17,83,398.4,20110222
4812.525221,16531,63,0,40,102.879769,20110103
29328.04185,32006,94,28,7,56.868289,20110227
5773.520711,81676,72,21,86,463.158502,20110215
6847.1189,71038,86,15,56,205.444066,20110111
3595.31286,0,103,20,43,741.6,20110121
22855.61209,20832,65,8,32,56.371967,20110126
7859.414569,0,113,19,10,813.6,20110101
4115.577437,52405,103,2,27,494.4,20110223
5029.638777,0,133,3,89,795.864079,20110204
4821.418454,26583,128,6,46,614.4,20110206
5004.310469,25486,65,15,53,72.438681,20110210
8630.053943,24065,111,30,1,532.8,20110102
9322.08512,70435,116,0,50,67.881546,20110210
16727.56063,0,76,33,36,402.636829,20110119
3652.532435,39679,92,2,85,641.388616,20110223
6158.601171,0,89,13,45,342.481173,20110107
4376.083958,0,69,21,70,331.2,20110114
5569.456156,53565,71,27,34,340.8,20110215
2576.513006,37574,66,19,14,412.101933,20110224
8346.983233,48259,108,14,79,73.700573,20110202
6323.923864,78532,78,25,87,374.4,20110107
5973.14343,96163,73,23,90,350.4,20110228
4706.676993,0,72,0,86,345.6,20110217
8093.410258,0,114,9,72,722.024742,20110212
5035.744643,72672,63,7,39,259.361117,20110109
9027.867218,99002,112,33,75,537.6,20110110
7288.884849,79494,91,19,30,396.295614,20110108
18042.47942,35704,225,21,35,358.281562,20110125
4992.063043,0,71,6,5,653.388564,20110127
9102.267849,26049,118,17,6,121.032372,20110112
2540.407726,70125,64,21,77,92.813396,20110116
12941.89193,52369,110,34,49,528.0,20110122
2365.348601,0,66,25,51,159.636956,20110113
5720.765064,41770,72,0,60,476.156957,20110211
7035.534088,0,101,16,88,727.2,20110104
2636.97773,31911,67,33,27,321.6,20110129
5395.831967,70051,68,15,69,42.078345,20110228
8382.630118,19683,117,17,41,561.6,20110204
31161.74523,30916,112,7,65,200.11606,20110202
2887.742258,0,80,24,95,676.944023,20110103
8714.922135,0,118,14,64,566.4,20110221
25585.72783,0,116,0,45,830.623064,20110201
10272.6082,60145,132,8,28,580.473259,20110101
4376.363592,63774,111,18,63,60.036683,20110228
5318.89664,25134,67,3,0,321.6,20110112
4719.762191,37057,61,5,48,47.53101,20110213
4428.031583,58577,110,6,62,303.872752,20110129
5879.176092,85857,73,3,19,100.620067,20110213
9416.908485,70602,116,8,47,481.339891,20110122
8288.155579,33816,106,10,97,508.8,20110125
32654.8383,0,153,7,75,1101.6,20110223
4719.450052,89642,121,11,20,86.320022,20110218
3903.474784,60068,98,17,75,470.4,20110103
5457.259678,50044,139,16,14,667.2,20110109
2725.356404,36650,69,2,70,56.60333,20110103
4433.97368,50653,110,29,42,262.865172,20110221
5332.462694,68931,66,32,30,309.577946,20110222
2315.094985,0,73,14,39,350.4,20110109
5411.953687,0,73,1,22,365.364581,20110207
9587.33234,39266,80,33,31,384.0,20110226
22103.5072,0,102,35,48,489.6,20110130
9764.945308,0,98,24,11,705.6,20110228
2567.151468,40864,65,2,75,9.51528,20110220
2650.622781,39035,68,15,65,244.564334,20110120
11264.36334,34923,98,23,82,639.105556,20110122
2168.523464,0,63,1,56,453.6,20110106
8610.667489,0,111,27,36,532.8,20110206
2834.646235,24506,71,7,47,511.2,20110202
8930.139728,0,82,25,63,554.522969,20110223
5536.386959,52220,70,17,42,336.0,20110107
2840.85429,0,74,17,73,402.449823,20110227
8082.880956,53554,67,6,5,327.020539,20110121
5254.734278,34476,67,23,49,5.3953,20110204
5116.237577,0,70,1,11,131.401291,20110108
3034.646997,68205,76,35,14,99.382943,20110204
8024.89992,0,119,6,48,856.8,20110115
18211.14319,53690,154,20,97,739.2,20110207
5121.563312,0,72,2,22,518.4,20110219
2150.178588,0,61,28,31,292.8,20110209
5595.389905,74454,71,25,29,340.8,20110205
7562.824036,0,73,23,91,350.4,20110115
5385.853211,29664,71,1,69,340.8,20110206
4718.558501,15680,64,20,29,260.879903,20110227
9422.567923,47272,79,17,17,64.546877,20110117
3605.860265,21585,92,35,61,441.6,20110107
7762.590564,23827,106,18,77,37.910623,20110103
23444.90045,69906,74,34,32,202.860399,20110126
2558.178159,0,72,7,77,345.6,20110107
5123.170887,89879,63,17,20,94.030308,20110114
2537.744494,0,69,9,89,331.2,20110220
2969.593296,46131,74,27,28,355.2,20110101
4363.124641,54514,109,5,36,286.234931,20110110
5884.308607,0,161,29,1,1159.2,20110127
5272.191556,96668,66,2,95,316.8,20110207
5509.895664,78879,69,9,67,466.570791,20110125
16313.68349,0,69,21,86,331.2,20110211
5678.050167,0,76,8,44,364.8,20110119
12101.20884,0,112,28,30,1252.406235,20110204
2453.570794,29735,69,3,92,331.2,20110209
5075.66267,23082,65,18,90,312.0,20110220
3214.979402,53984,80,15,62,421.484456,20110204
12275.34309,52135,156,6,86,430.505942,20110108
2722.210707,17576,71,29,70,398.502948,20110202
2457.440923,29486,62,19,73,7.646763,20110207
3554.845264,58557,88,4,83,55.510526,20110110
4929.549699,25632,63,27,52,351.270869,20110126
8036.45034,0,112,7,42,806.4,20110201
4276.915328,18768,68,19,53,647.454583,20110128
33473.34946,33190,106,18,95,508.8,20110111
5960.581363,47945,74,32,39,128.43823,20110203
44795.46942,58778,126,6,62,302.033971,20110204
3832.118106,15192,100,1,7,480.0,20110214
6837.932624,51859,171,0,21,1003.160633,20110124
5285.26816,23422,72,25,76,518.4,20110223
3096.511217,21604,79,14,28,379.2,20110212
3589.710715,79298,90,22,2,244.362072,20110105
2582.408525,76731,64,2,68,201.455005,20110214
2487.729726,67282,62,29,27,297.6,20110202
13575.67599,48534,115,29,79,552.0,20110123
4685.504251,77678,116,32,81,741.418485,20110105
28685.82785,48412,104,15,23,707.430832,20110224
2764.032126,33837,72,29,54,305.575785,20110110
6183.111464,23712,85,2,20,376.126419,20110213
3873.647046,28142,105,18,50,701.708239,20110120
18929.3306,72196,68,8,61,152.184244,20110205
5553.295758,68197,69,1,81,176.819414,20110107
5011.259184,75248,63,13,71,104.454624,20110227
10442.44633,0,98,9,50,941.718054,20110108
2199.61781,0,65,5,19,468.0,20110106
8709.845263,41546,111,4,47,121.306839,20110203
7484.310483,46998,96,13,98,460.8,20110120
2613.023132,57099,67,20,37,67.859881,20110223
9080.639651,33897,114,15,67,539.843003,20110126
13770.97618,59207,116,23,21,556.8,20110201
2876.822941,40171,73,8,78,350.4,20110214
5548.031892,67798,69,1,78,331.2,20110113
5097.526248,21665,136,0,25,765.709629,20110124
24143.87556,0,87,9,75,626.4,20110117
3538.059456,0,67,12,67,321.6,20110115
29091.23936,34226,244,29,22,494.395024,20110218
19834.20115,65989,123,4,43,115.545086,20110106
4731.366975,30686,61,22,45,19.938981,20110114
35537.846,0,113,15,6,799.926741,20110206
34611.37896,20090,109,10,59,523.2,20110114
20216.30883,0,183,6,16,878.4,20110124
13976.51925,77094,176,25,29,444.470676,20110126
5904.088162,97413,73,21,80,268.819985,20110115
5595.835041,79189,69,6,97,331.2,20110122
2294.303629,0,62,5,31,297.6,20110209
6273.911874,18577,86,21,76,412.8,20110216
3726.727996,0,112,7,34,806.4,20110226
5285.118669,40783,67,13,43,321.6,20110124
5110.680779,0,74,34,51,532.8,20110128
7126.596501,17483,183,24,63,1317.6,20110203
4601.634099,84394,114,9,38,691.412378,20110127
9155.239699,0,127,3,93,804.811859,20110204
14808.05624,41440,62,20,80,297.6,20110222
8901.678357,0,136,14,69,1090.86434,20110119
5734.598243,98132,71,10,61,50.587035,20110105
4177.696973,0,112,4,49,537.6,20110203
27776.28906,88220,230,28,63,151.528482,20110118
10364.34749,58327,129,31,5,347.075948,20110109
7851.901368,25950,66,27,1,271.697529,20110203
4772.943848,20993,133,35,90,638.4,20110218
14226.50485,65726,177,35,90,849.6,20110108
4031.104947,0,63,35,59,639.45899,20110207
2794.907476,39783,72,28,43,345.6,20110122
4362.931238,58842,110,6,74,528.0,20110103
9624.524417,25629,124,3,70,595.2,20110120
5015.009472,48567,130,12,15,624.0,20110203
6948.422239,0,196,0,73,1337.063487,20110207
2896.918767,33746,74,1,6,355.2,20110209
21903.91364,22254,79,22,75,125.194389,20110226
9028.821403,65974,113,3,43,235.220971,20110214
5303.759534,0,76,18,63,395.34111,20110102
4165.354461,17161,113,1,22,542.4,20110103
5123.768112,0,74,1,62,772.798511,20110227
9492.342964,0,132,9,85,633.6,20110115
8204.863191,0,73,9,14,350.4,20110102
9877.295699,67752,131,4,40,168.517149,20110131
4815.009736,25398,64,30,80,307.2,20110116
6277.011679,0,88,30,19,633.6,20110218
8260.639809,33321,105,6,2,504.0,20110102
2549.450038,0,78,13,32,845.654042,20110120
4502.679656,68798,114,19,69,92.915251,20110127
3803.921781,20325,100,4,6,668.29397,20110126
8635.4035,13129,117,15,93,700.901632,20110215
5510.558964,0,73,24,57,525.6,20110107
3585.884123,49080,91,14,68,25.299,20110110
4889.25278,42536,63,30,57,375.330097,20110220
2756.941661,29926,74,25,34,418.233667,20110118
3289.547398,0,86,5,55,398.240791,20110124
10937.1785,21450,138,15,35,938.513425,20110108
7375.567916,33345,65,32,52,338.619869,20110209
10110.77818,15752,90,27,37,339.344531,20110216
5119.414293,40169,65,1,47,302.818833,20110110
8533.832013,26049,113,10,15,619.165344,20110228
2224.768,0,68,3,4,326.4,20110122
8042.803784,55411,100,24,53,259.561195,20110105
2554.437138,12459,70,4,41,336.0,20110121
18073.93999,64620,76,24,32,364.8,20110124
2430.506586,83140,61,25,70,179.161843,20110114
3167.658442,0,92,20,50,662.4,20110119
5465.603983,54422,68,9,8,75.501852,20110131
10357.51422,68309,131,4,67,306.983596,20110216
2537.813878,56621,65,27,36,84.026848,20110112
2821.947219,38977,70,27,22,139.489926,20110106
7757.128146,0,111,32,13,607.4459,20110123
4079.132667,0,114,12,43,631.124372,20110218
5955.544552,0,83,35,87,628.023494,20110207
14158.61364,83235,70,16,33,336.0,20110226
8487.238032,0,74,7,93,426.655599,20110105
6285.476868,32390,80,20,36,91.417923,20110210
11473.48149,66538,95,14,64,317.844812,20110112
2310.882998,0,64,12,24,460.8,20110101
23594.6802,76358,66,25,3,86.461582,20110131
2514.59196,43860,65,15,58,156.124914,20110214
5380.898636,55350,67,0,13,321.6,20110224
4770.550911,12964,65,2,37,362.774545,20110201
6756.651404,33288,86,1,27,221.856184,20110106
5936.011773,0,84,31,25,980.169081,20110127
3570.760509,56168,88,13,20,614.675906,20110107
6019.960469,0,92,3,28,662.4,20110131
5426.863953,23105,69,15,21,331.2,20110225
2730.313804,36218,68,6,83,145.252168,20110103
4982.681374,52275,62,6,88,374.240783,20110227
8769.266756,49665,74,5,51,355.2,20110119
4220.613534,32471,110,0,87,528.0,20110131
11537.50507,0,86,12,89,619.2,20110121
5887.182043,62773,73,19,57,80.669257,20110214
4700.583771,76694,117,34,23,561.6,20110218
10963.95723,55687,276,33,91,1324.8,20110208
2523.171245,0,70,20,81,504.0,20110130
3757.804716,36633,96,20,61,460.8,20110128
12941.73353,77060,106,23,90,468.566133,20110124
3764.465074,92600,94,9,48,842.43785,20110217
6889.557028,0,66,2,75,475.2,20110204
3623.454198,0,111,6,24,1171.93117,20110120
7582.113842,64801,64,23,19,268.471802,20110203
8277.74558,45257,103,33,90,494.4,20110206
2576.455597,26854,66,31,70,475.2,20110122
8205.387936,85840,102,14,79,138.722385,20110222
19582.46887,26463,72,28,93,345.6,20110129
6481.526576,30689,81,23,51,467.24802,20110113
2599.310879,29590,66,17,18,467.503236,20110213
9830.337629,25965,253,15,59,1214.4,20110210
10442.65139,17269,139,3,31,667.2,20110126
36057.53702,90330,137,0,86,192.085299,20110207
8470.036773,0,113,34,5,619.973889,20110107
8278.786492,0,110,20,66,1002.782553,20110118
4788.932598,0,67,2,49,321.6,20110222
3087.999917,18558,80,17,23,384.0,20110116
4443.736209,46384,113,33,93,251.774574,20110101
7984.086473,0,72,1,77,866.208321,20110210
7180.971028,42303,180,24,66,1210.920949,20110109
15656.03434,71731,130,12,50,599.648466,20110202
5780.182197,51066,74,23,0,787.993313,20110226
20714.94043,0,203,20,66,2027.724442,20110201
5337.352409,0,86,19,93,619.2,20110214
5050.826183,0,69,16,45,72.852047,20110225
5116.624022,26173,68,2,10,449.819671,20110217
7268.736958,24445,63,18,15,302.4,20110208
2616.613903,72302,66,6,27,316.8,20110225
3738.436222,27208,102,10,65,489.6,20110211
2725.356404,36650,69,2,70,56.60333,20110103
5453.861203,30855,68,7,15,259.060862,20110104
6846.150323,0,95,13,20,456.0,20110127
6172.914199,99960,76,19,83,364.8,20110127
10346.32454,0,98,1,15,470.4,20110213
6997.008618,55873,88,30,19,299.356083,20110108
4196.257691,18052,111,5,71,699.1679,20110226
7858.109763,28937,104,28,23,117.959654,20110201
6064.343994,0,86,34,80,545.240341,20110116
17497.52201,0,73,9,94,350.4,20110228
8970.647312,12829,118,33,1,328.231432,20110206
5923.117229,92163,73,3,79,66.568642,20110202
35850.59935,17588,192,24,92,1382.4,20110106
4331.460674,82302,106,11,92,722.178166,20110211
13309.33517,0,127,19,40,609.6,20110113
4528.50489,70340,113,5,56,542.4,20110225
2791.906514,0,74,35,59,532.8,20110206
8092.87696,50825,102,3,46,369.614729,20110205
7996.00748,93459,99,9,85,655.41333,20110119
5129.738992,86148,65,19,51,312.0,20110125
5697.175238,27048,72,5,85,345.6,20110117
9217.130629,73259,115,7,31,673.34265,20110227
10208.92761,35482,129,21,59,619.2,20110214
4170.687348,29462,107,28,23,513.6,20110117
4505.405812,67801,115,12,45,23.810491,20110215
3107.568648,0,94,34,59,451.2,20110119
5528.664986,16042,73,33,58,350.4,20110207
5045.866663,28056,64,32,41,307.2,20110127
2962.722482,16495,85,25,75,408.0,20110109
8665.956372,41163,108,11,66,231.922173,20110208
11413.44115,0,161,3,71,772.8,20110206
15488.43196,33799,109,28,52,664.980242,20110105
6048.574243,0,61,17,71,292.8,20110101
5934.741492,87747,147,3,87,46.492039,20110228
3543.232138,35695,90,2,7,432.0,20110209
3490.028304,90985,87,33,39,78.085149,20110127
3683.099864,0,101,19,16,564.466556,20110106
5989.773931,66839,154,33,24,739.2,20110119
12500.84302,0,165,16,43,792.0,20110115
8609.158215,79090,107,2,74,289.040734,20110114
2497.45507,24825,64,34,44,155.938593,20110212
7019.177186,26806,63,32,19,302.4,20110123
5387.926265,56835,67,25,16,326.549425,20110121
6165.557517,0,88,12,54,653.65668,20110124
2730.20294,46135,69,12,68,103.935601,20110225
5162.116944,0,73,21,87,809.532341,20110103
7937.064822,22862,67,9,40,321.6,20110201
8608.157233,21450,110,8,80,528.0,20110204
2632.545795,95854,65,16,78,312.0,20110122
7785.004214,44897,99,22,46,580.72531,20110219
8255.76385,54040,103,14,88,59.987126,20110114
4980.825042,53265,62,12,27,238.005074,20110210
7457.237794,0,198,18,55,1577.674417,20110222
12302.76244,43817,62,25,12,245.447622,20110105
6862.508337,54780,88,22,72,135.26125,20110227
9048.983447,0,119,9,8,571.2,20110124
5548.031892,67798,69,1,78,331.2,20110113
8312.681598,21442,118,32,84,566.4,20110103
2389.980951,27615,62,19,18,297.6,20110217
4458.113369,17622,65,1,36,312.0,20110102
5295.741716,50200,135,23,98,637.063458,20110225
3839.606117,0,112,3,51,537.6,20110221
3731.504584,0,96,31,34,460.8,20110224
2778.903705,73570,70,0,46,75.936096,20110227
4016.541995,0,111,4,85,799.2,20110210
8236.917193,0,106,11,15,603.058114,20110202
